==================================================
=== Log Session: 14.05.2025 2:45:56 ===
=== Unity Version: 6000.0.21f1 ===
=== App Version: 1.0 ===
=== OS: Windows 11  (10.0.26100) 64bit ===
=== Device: MS-7D75 (Micro-Star International Co., Ltd.) ===
=== Processor: AMD Ryzen 5 7600 6-Core Processor  ===
=== Graphics: Intel(R) Arc(TM) B580 Graphics ===
==================================================

02:45:56.495 [Log] Application started. Version: 1.0
02:45:56.497 [Log] Log file initialized at: D:\SteamLibrary\steamapps\common\Dicewood Demo\Logs\AppLog_2025-05-14_02-45-56.log
02:45:57.370 [Log] LOAD ENTITY CMS/audio/ambience/forest_atmos_bright
02:45:57.370 [Log] LOAD ENTITY CMS/audio/ambience/forest_atmos_dark
02:45:57.371 [Log] LOAD ENTITY CMS/audio/ambience/house_atmos
02:45:57.371 [Log] LOAD ENTITY CMS/audio/events/sfx_altar_jingle
02:45:57.371 [Log] LOAD ENTITY CMS/audio/events/sfx_beartrap_jingle
02:45:57.371 [Log] LOAD ENTITY CMS/audio/events/sfx_raven_jingle
02:45:57.371 [Log] LOAD ENTITY CMS/audio/events/sfx_tools_jingle
02:45:57.371 [Log] LOAD ENTITY CMS/audio/game/sfx_animal_exile
02:45:57.371 [Log] LOAD ENTITY CMS/audio/game/sfx_choose_background_noise
02:45:57.371 [Log] LOAD ENTITY CMS/audio/game/sfx_say
02:45:57.371 [Log] LOAD ENTITY CMS/audio/music/forest_combat
02:45:57.371 [Log] LOAD ENTITY CMS/audio/music/forest_map
02:45:57.371 [Log] LOAD ENTITY CMS/audio/music/forest_reprise
02:45:57.371 [Log] LOAD ENTITY CMS/audio/ui/sfx_door
02:45:57.371 [Log] LOAD ENTITY CMS/audio/ui/sfx_end_turn
02:45:57.371 [Log] LOAD ENTITY CMS/audio/ui/sfx_enter_house
02:45:57.371 [Log] LOAD ENTITY CMS/audio/ui/sfx_map_click
02:45:57.371 [Log] LOAD ENTITY CMS/audio/ui/sfx_map_hover
02:45:57.371 [Log] LOAD ENTITY CMS/challenge/B_red_riding_hood
02:45:57.371 [Log] LOAD ENTITY CMS/challenge/E_bear_trap
02:45:57.371 [Log] LOAD ENTITY CMS/challenge/E_centipede
02:45:57.371 [Log] LOAD ENTITY CMS/challenge/E_chestnut_man
02:45:57.371 [Log] LOAD ENTITY CMS/challenge/E_corpseflower
02:45:57.371 [Log] LOAD ENTITY CMS/challenge/E_crab
02:45:57.371 [Log] LOAD ENTITY CMS/challenge/E_earwig
02:45:57.371 [Log] LOAD ENTITY CMS/challenge/E_gloombloom
02:45:57.371 [Log] LOAD ENTITY CMS/challenge/E_grafted_doll
02:45:57.371 [Log] LOAD ENTITY CMS/challenge/E_gravemoss
02:45:57.371 [Log] LOAD ENTITY CMS/challenge/E_hand
02:45:57.371 [Log] LOAD ENTITY CMS/challenge/E_mole
02:45:57.371 [Log] LOAD ENTITY CMS/challenge/E_mushroom
02:45:57.371 [Log] LOAD ENTITY CMS/challenge/E_mushroom_small
02:45:57.371 [Log] LOAD ENTITY CMS/challenge/E_pinocchio
02:45:57.371 [Log] LOAD ENTITY CMS/challenge/E_poison_cloud
02:45:57.371 [Log] LOAD ENTITY CMS/challenge/E_rat
02:45:57.371 [Log] LOAD ENTITY CMS/challenge/E_rat_king
02:45:57.371 [Log] LOAD ENTITY CMS/challenge/E_scorpion
02:45:57.371 [Log] LOAD ENTITY CMS/challenge/E_snail_big
02:45:57.371 [Log] LOAD ENTITY CMS/challenge/E_snail_even
02:45:57.371 [Log] LOAD ENTITY CMS/challenge/E_snail_odd
02:45:57.371 [Log] LOAD ENTITY CMS/challenge/E_snail_rabid
02:45:57.371 [Log] LOAD ENTITY CMS/challenge/E_snake_big
02:45:57.371 [Log] LOAD ENTITY CMS/challenge/E_snapping_tutrle
02:45:57.371 [Log] LOAD ENTITY CMS/challenge/E_spider
02:45:57.371 [Log] LOAD ENTITY CMS/challenge/E_spider_boss
02:45:57.371 [Log] LOAD ENTITY CMS/challenge/E_spider_huntsman
02:45:57.371 [Log] LOAD ENTITY CMS/challenge/E_spiderweb
02:45:57.371 [Log] LOAD ENTITY CMS/challenge/E_totem
02:45:57.371 [Log] LOAD ENTITY CMS/challenge/E_totem_tutorial
02:45:57.371 [Log] LOAD ENTITY CMS/challenge/E_wasp
02:45:57.371 [Log] LOAD ENTITY CMS/challenge/E_witch_servant_A
02:45:57.371 [Log] LOAD ENTITY CMS/challenge/E_witch_servant_B
02:45:57.371 [Log] LOAD ENTITY CMS/challenge_slot_modifier/cs_x2_damage_candle
02:45:57.371 [Log] LOAD ENTITY CMS/consumables/cm_arrow
02:45:57.371 [Log] LOAD ENTITY CMS/consumables/cm_blue_cheese
02:45:57.371 [Log] LOAD ENTITY CMS/consumables/cm_carrot
02:45:57.371 [Log] LOAD ENTITY CMS/consumables/cm_cheese
02:45:57.371 [Log] LOAD ENTITY CMS/consumables/cm_club
02:45:57.371 [Log] LOAD ENTITY CMS/consumables/cm_cork_hat
02:45:57.371 [Log] LOAD ENTITY CMS/consumables/cm_dagger
02:45:57.371 [Log] LOAD ENTITY CMS/consumables/cm_egg
02:45:57.371 [Log] LOAD ENTITY CMS/consumables/cm_fang
02:45:57.371 [Log] LOAD ENTITY CMS/consumables/cm_health_potion
02:45:57.371 [Log] LOAD ENTITY CMS/consumables/cm_hedgehog_carcass
02:45:57.371 [Log] LOAD ENTITY CMS/consumables/cm_medicine
02:45:57.371 [Log] LOAD ENTITY CMS/consumables/cm_mirror
02:45:57.371 [Log] LOAD ENTITY CMS/consumables/cm_paw
02:45:57.371 [Log] LOAD ENTITY CMS/consumables/cm_poison_potion
02:45:57.371 [Log] LOAD ENTITY CMS/consumables/cm_rat_droppings
02:45:57.371 [Log] LOAD ENTITY CMS/consumables/cm_saw
02:45:57.371 [Log] LOAD ENTITY CMS/consumables/cm_shovel
02:45:57.371 [Log] LOAD ENTITY CMS/consumables/cm_strange_carrot
02:45:57.371 [Log] LOAD ENTITY CMS/consumables/dice/cm_d1
02:45:57.371 [Log] LOAD ENTITY CMS/consumables/dice/cm_d2
02:45:57.371 [Log] LOAD ENTITY CMS/consumables/dice/cm_d3
02:45:57.371 [Log] LOAD ENTITY CMS/consumables/dice/cm_d4
02:45:57.371 [Log] LOAD ENTITY CMS/consumables/dice/cm_d5
02:45:57.371 [Log] LOAD ENTITY CMS/consumables/dice/cm_d6
02:45:57.371 [Log] LOAD ENTITY CMS/consumables/lore/cm_story
02:45:57.371 [Log] LOAD ENTITY CMS/consumables/lore/cm_story_house
02:45:57.371 [Log] LOAD ENTITY CMS/consumables/resources/cm_bones
02:45:57.371 [Log] LOAD ENTITY CMS/consumables/resources/cm_key
02:45:57.371 [Log] LOAD ENTITY CMS/currency/c_bones
02:45:57.371 [Log] LOAD ENTITY CMS/currency/c_keys
02:45:57.371 [Log] LOAD ENTITY CMS/default_deck
02:45:57.371 [Log] LOAD ENTITY CMS/deck_no_cats
02:45:57.371 [Log] LOAD ENTITY CMS/dice/special/dice_cocoon
02:45:57.371 [Log] LOAD ENTITY CMS/dice/special/dice_egg
02:45:57.371 [Log] LOAD ENTITY CMS/dice/starting/common/dice_cat
02:45:57.371 [Log] LOAD ENTITY CMS/dice/starting/common/dice_cat_black
02:45:57.371 [Log] LOAD ENTITY CMS/dice/starting/common/dice_cat_brown
02:45:57.371 [Log] LOAD ENTITY CMS/dice/starting/common/dice_fennec
02:45:57.371 [Log] LOAD ENTITY CMS/dice/starting/common/dice_manul
02:45:57.371 [Log] LOAD ENTITY CMS/dice/starting/common/dice_rabbit
02:45:57.371 [Log] LOAD ENTITY CMS/dice/starting/common/dice_rabbit_brown
02:45:57.371 [Log] LOAD ENTITY CMS/dice/starting/common/dice_rabbit_grey
02:45:57.371 [Log] LOAD ENTITY CMS/dice/starting/common/dice_rat
02:45:57.371 [Log] LOAD ENTITY CMS/dice/starting/common/dice_sparrow
02:45:57.371 [Log] LOAD ENTITY CMS/dice/starting/rare/dice_bear
02:45:57.371 [Log] LOAD ENTITY CMS/dice/starting/rare/dice_crow
02:45:57.371 [Log] LOAD ENTITY CMS/dice/starting/rare/dice_deer
02:45:57.371 [Log] LOAD ENTITY CMS/dice/starting/rare/dice_fox
02:45:57.371 [Log] LOAD ENTITY CMS/dice/starting/rare/dice_hedgehog
02:45:57.371 [Log] LOAD ENTITY CMS/dice/starting/rare/dice_monkey
02:45:57.371 [Log] LOAD ENTITY CMS/dice/starting/rare/dice_owl
02:45:57.371 [Log] LOAD ENTITY CMS/dice/starting/rare/dice_panda
02:45:57.371 [Log] LOAD ENTITY CMS/dice/starting/rare/dice_pidgeon
02:45:57.371 [Log] LOAD ENTITY CMS/dice/starting/rare/dice_red_panda
02:45:57.371 [Log] LOAD ENTITY CMS/dice/starting/rare/dice_snake
02:45:57.371 [Log] LOAD ENTITY CMS/dice/starting/rare/dice_wolf
02:45:57.371 [Log] LOAD ENTITY CMS/dice/starting/uncommon/dice_frog
02:45:57.371 [Log] LOAD ENTITY CMS/dice/starting/uncommon/dice_hare
02:45:57.371 [Log] LOAD ENTITY CMS/dice/starting/uncommon/dice_hog
02:45:57.371 [Log] LOAD ENTITY CMS/dice/starting/uncommon/dice_raccoon
02:45:57.371 [Log] LOAD ENTITY CMS/dice/starting/uncommon/dice_ram
02:45:57.371 [Log] LOAD ENTITY CMS/dice/starting/uncommon/dice_sheep
02:45:57.371 [Log] LOAD ENTITY CMS/dice/to_unlock/dice_beaver
02:45:57.372 [Log] LOAD ENTITY CMS/dice/to_unlock/dice_capybara
02:45:57.372 [Log] LOAD ENTITY CMS/dice/to_unlock/dice_cat_blue
02:45:57.372 [Log] LOAD ENTITY CMS/dice/to_unlock/dice_crow_white
02:45:57.372 [Log] LOAD ENTITY CMS/dice/to_unlock/dice_fox_arctic
02:45:57.372 [Log] LOAD ENTITY CMS/dice/to_unlock/dice_rabbit_black
02:45:57.372 [Log] LOAD ENTITY CMS/dice/to_unlock/dice_rabbit_blood
02:45:57.372 [Log] LOAD ENTITY CMS/dice/to_unlock/dice_rabbit_half
02:45:57.372 [Log] LOAD ENTITY CMS/dice/to_unlock/dice_rabbit_lab
02:45:57.372 [Log] LOAD ENTITY CMS/dice/to_unlock/dice_rabbit_mutated
02:45:57.372 [Log] LOAD ENTITY CMS/dice/to_unlock/dice_sheep_black
02:45:57.372 [Log] LOAD ENTITY CMS/dice/to_unlock/dice_snake_black
02:45:57.372 [Log] LOAD ENTITY CMS/dice/to_unlock/dice_snake_gold
02:45:57.372 [Log] LOAD ENTITY CMS/dice_modifier/decorative/dm_blood_Eye
02:45:57.372 [Log] LOAD ENTITY CMS/dice_modifier/decorative/dm_cage
02:45:57.372 [Log] LOAD ENTITY CMS/dice_modifier/decorative/dm_mad_eye
02:45:57.372 [Log] LOAD ENTITY CMS/dice_modifier/decorative/dm_stolen
02:45:57.372 [Log] LOAD ENTITY CMS/dice_modifier/decorative/dm_tophat
02:45:57.372 [Log] LOAD ENTITY CMS/dice_modifier/dm_buried
02:45:57.372 [Log] LOAD ENTITY CMS/dice_modifier/dm_burning_eyes
02:45:57.372 [Log] LOAD ENTITY CMS/dice_modifier/dm_crack
02:45:57.372 [Log] LOAD ENTITY CMS/dice_modifier/dm_feather_raven
02:45:57.372 [Log] LOAD ENTITY CMS/dice_modifier/dm_foresight
02:45:57.372 [Log] LOAD ENTITY CMS/dice_modifier/dm_gold_leaf
02:45:57.372 [Log] LOAD ENTITY CMS/dice_modifier/dm_grapes
02:45:57.372 [Log] LOAD ENTITY CMS/dice_modifier/dm_horns
02:45:57.372 [Log] LOAD ENTITY CMS/dice_modifier/dm_leech
02:45:57.372 [Log] LOAD ENTITY CMS/dice_modifier/dm_magma
02:45:57.372 [Log] LOAD ENTITY CMS/dice_modifier/dm_miasma
02:45:57.372 [Log] LOAD ENTITY CMS/dice_modifier/dm_no_eye
02:45:57.372 [Log] LOAD ENTITY CMS/dice_modifier/dm_strange_odor
02:45:57.372 [Log] LOAD ENTITY CMS/dice_modifier/dm_webbed
02:45:57.372 [Log] LOAD ENTITY CMS/dice_modifier/dm_wildcard
02:45:57.372 [Log] LOAD ENTITY CMS/entity_categories/category_cats
02:45:57.372 [Log] LOAD ENTITY CMS/entity_categories/category_d_magic
02:45:57.372 [Log] LOAD ENTITY CMS/lore/note_0
02:45:57.372 [Log] LOAD ENTITY CMS/lore/note_1
02:45:57.372 [Log] LOAD ENTITY CMS/lore/note_2
02:45:57.372 [Log] LOAD ENTITY CMS/lore/note_chestnut_man
02:45:57.372 [Log] LOAD ENTITY CMS/lore/note_first_death
02:45:57.372 [Log] LOAD ENTITY CMS/lore/note_gloomshell
02:45:57.372 [Log] LOAD ENTITY CMS/lore/note_lagomorph
02:45:57.372 [Log] LOAD ENTITY CMS/lore/note_wiltpetal
02:45:57.372 [Log] LOAD ENTITY CMS/map/levels/1/level_e_snake_big
